"weight";"lat";"lon"
"99";"38.695";"-90.792"
"99";"38.675";"-90.603"
"99";"38.645";"-90.673"
"98";"38.665";"-90.753"
"97";"38.835";"-90.603"
"97";"38.785";"-90.573"
"97";"38.695";"-90.973"
"97";"38.685";"-90.542"
"96";"38.835";"-90.523"
"96";"38.795";"-90.483"
"96";"38.725";"-90.553"
"96";"38.825";"-90.693"
"96";"38.675";"-90.503"
"96";"38.635";"-90.693"
"95";"38.795";"-90.573"
"95";"38.775";"-90.593"
"95";"38.795";"-90.503"
"94";"38.815";"-90.563"
"94";"38.665";"-90.763"
"94";"38.645";"-90.573"
"94";"38.805";"-90.833"
"94";"38.785";"-90.453"
"94";"38.645";"-90.603"
"94";"38.585";"-90.803"
"94";"38.855";"-90.453"
"93";"38.815";"-90.763"
"93";"38.685";"-90.673"
"93";"38.655";"-90.513"
"93";"38.595";"-90.792"
"93";"38.685";"-90.443"
"92";"38.695";"-90.983"
"91";"38.885";"-90.453"
"91";"38.815";"-90.792"
"91";"38.625";"-90.753"
"91";"38.695";"-91.033"
"91";"38.695";"-90.713"
"91";"38.845";"-90.693"
"90";"38.795";"-90.513"
"90";"38.695";"-90.542"
"90";"38.695";"-91.083"
"90";"38.695";"-90.943"
"90";"38.655";"-90.413"
"90";"38.645";"-90.643"
"90";"38.635";"-90.713"
"89";"38.825";"-90.733"
"89";"38.695";"-91.003"
"89";"38.865";"-90.563"
"89";"38.695";"-90.993"
"89";"38.655";"-90.402"
"89";"38.815";"-90.773"
"89";"38.755";"-90.503"
"89";"38.655";"-90.443"
"88";"38.695";"-90.883"
"88";"38.775";"-90.603"
"88";"38.675";"-90.473"
"87";"38.645";"-90.593"
"87";"38.825";"-90.542"
"87";"38.825";"-90.443"
"87";"38.715";"-90.683"
"87";"38.685";"-90.613"
"87";"38.795";"-90.493"
"87";"38.765";"-90.483"
"86";"38.805";"-90.843"
"86";"38.735";"-90.523"
"86";"38.855";"-90.583"
"86";"38.725";"-90.633"
"86";"38.695";"-91.093"
"86";"38.695";"-90.873"
"86";"38.845";"-90.533"
"86";"38.635";"-90.743"
"86";"38.865";"-90.453"
"86";"38.785";"-90.463"
"86";"38.695";"-91.073"
"86";"38.665";"-90.723"
"86";"38.735";"-90.623"
"86";"38.655";"-90.843"
"85";"38.815";"-90.783"
"85";"38.855";"-90.402"
"84";"38.755";"-90.623"
"84";"38.755";"-90.542"
"84";"38.695";"-90.913"
"84";"38.865";"-90.573"
"84";"38.645";"-90.553"
"84";"38.865";"-90.553"
"84";"38.695";"-91.042"
"84";"38.685";"-91.173"
"83";"38.695";"-90.893"
"83";"38.695";"-90.813"
"83";"38.695";"-91.113"
"83";"38.695";"-90.953"
"83";"38.725";"-90.623"
"83";"38.655";"-90.893"
"83";"38.825";"-90.743"
"83";"38.715";"-90.633"
"83";"38.695";"-90.863"
"83";"38.645";"-90.542"
"83";"38.645";"-90.383"
"83";"38.635";"-90.593"
"82";"38.705";"-90.753"
"82";"38.675";"-90.833"
"82";"38.665";"-90.533"
"82";"38.645";"-90.723"
"82";"38.795";"-90.593"
"82";"38.695";"-90.933"
"82";"38.655";"-90.873"
"81";"38.905";"-90.913"
"81";"38.895";"-90.853"
"81";"38.695";"-91.063"
"81";"38.635";"-90.603"
"81";"38.835";"-90.673"
"81";"38.805";"-90.863"
"81";"38.745";"-90.633"
"81";"38.695";"-91.013"
"81";"38.615";"-90.773"
"80";"38.795";"-90.473"
"80";"38.665";"-90.713"
"80";"38.625";"-90.733"
"80";"38.635";"-90.503"
"80";"38.605";"-90.783"
"80";"38.695";"-91.103"
"80";"38.685";"-91.183"
"79";"38.645";"-90.513"
"79";"38.595";"-90.583"
"79";"38.875";"-90.623"
"79";"38.855";"-90.393"
"79";"38.675";"-90.743"
"79";"38.655";"-90.503"
"79";"38.645";"-90.683"
"79";"38.645";"-90.663"
"79";"38.865";"-90.533"
"79";"38.645";"-90.703"
"79";"38.735";"-90.652"
"78";"38.725";"-90.673"
"78";"38.655";"-90.383"
"78";"38.695";"-91.143"
"78";"38.685";"-90.733"
"78";"38.605";"-90.773"
"78";"38.845";"-90.493"
"78";"38.565";"-90.823"
"78";"38.825";"-90.603"
"78";"38.735";"-90.723"
"78";"38.695";"-90.923"
"78";"38.655";"-90.863"
"77";"38.695";"-90.803"
"77";"38.695";"-90.553"
"77";"38.625";"-90.553"
"77";"38.735";"-90.713"
"77";"38.805";"-90.533"
"77";"38.805";"-90.503"
"77";"38.695";"-90.783"
"77";"38.685";"-91.193"
"77";"38.685";"-90.652"
"77";"38.585";"-90.893"
"76";"38.815";"-90.553"
"76";"38.665";"-90.553"
"76";"38.875";"-90.423"
"76";"38.655";"-90.483"
"76";"38.635";"-90.663"
"76";"38.755";"-90.533"
"75";"38.695";"-91.053"
"75";"38.695";"-90.902"
"75";"38.665";"-90.413"
"75";"38.785";"-90.613"
"75";"38.685";"-90.723"
"75";"38.655";"-90.833"
"75";"38.655";"-90.463"
"75";"38.825";"-90.553"
"75";"38.655";"-90.803"
"74";"38.655";"-90.373"
"74";"38.745";"-90.553"
"74";"38.695";"-91.023"
"74";"38.695";"-90.773"
"74";"38.655";"-90.433"
"74";"38.795";"-90.563"
"74";"38.605";"-90.583"
"73";"38.805";"-90.893"
"73";"38.745";"-90.563"
"73";"38.755";"-90.603"
"73";"38.675";"-90.693"
"73";"38.645";"-90.743"
"73";"38.625";"-90.693"
"73";"38.595";"-90.843"
"73";"38.675";"-90.673"
"72";"38.655";"-90.453"
"72";"38.805";"-90.902"
"72";"38.685";"-90.553"
"72";"38.685";"-90.523"
"72";"38.635";"-90.652"
"72";"38.625";"-90.493"
"72";"38.725";"-90.733"
"72";"38.635";"-90.553"
"72";"38.865";"-90.503"
"72";"38.715";"-90.563"
"72";"38.705";"-90.463"
"71";"38.855";"-90.533"
"71";"38.735";"-90.583"
"71";"38.635";"-90.573"
"71";"38.625";"-90.603"
"71";"38.515";"-90.883"
"71";"38.825";"-90.593"
"71";"38.785";"-90.623"
"71";"38.685";"-91.203"
"71";"38.765";"-90.663"
"71";"38.915";"-90.963"
"71";"38.855";"-90.733"
"71";"38.755";"-90.713"
"71";"38.635";"-90.643"
"70";"38.755";"-90.673"
"70";"38.645";"-90.803"
"70";"38.505";"-90.893"
"70";"38.725";"-90.513"
"70";"38.725";"-90.583"
"70";"38.685";"-90.593"
"70";"38.805";"-90.523"
"70";"38.655";"-90.823"
"69";"38.775";"-90.633"
"69";"38.765";"-90.533"
"69";"38.715";"-90.493"
"69";"38.585";"-90.883"
"69";"38.795";"-90.553"
"69";"38.685";"-90.513"
"69";"38.665";"-90.733"
"69";"38.845";"-90.473"
"69";"38.685";"-91.163"
"69";"38.655";"-90.973"
"68";"38.625";"-90.743"
"68";"38.785";"-90.563"
"68";"38.645";"-90.533"
"68";"38.685";"-90.563"
"68";"38.625";"-90.703"
"68";"38.805";"-90.623"
"68";"38.635";"-90.613"
"68";"38.625";"-90.763"
"68";"38.775";"-90.623"
"68";"38.755";"-90.553"
"68";"38.745";"-90.693"
"68";"38.745";"-90.613"
"68";"38.685";"-90.963"
"67";"38.855";"-90.443"
"67";"38.805";"-90.493"
"67";"38.795";"-90.913"
"67";"38.855";"-90.423"
"66";"38.865";"-90.542"
"66";"38.755";"-90.633"
"66";"38.845";"-90.673"
"66";"38.805";"-90.873"
"66";"38.605";"-90.813"
"66";"38.775";"-90.643"
"66";"38.695";"-90.763"
"66";"38.655";"-90.883"
"65";"38.865";"-90.443"
"65";"38.695";"-90.633"
"65";"38.695";"-90.523"
"65";"38.645";"-90.523"
"65";"38.875";"-90.473"
"65";"38.665";"-90.402"
"65";"38.625";"-90.353"
"65";"38.695";"-91.133"
"65";"38.695";"-90.453"
"65";"38.685";"-90.533"
"65";"38.685";"-91.213"
"65";"38.675";"-90.443"
"65";"38.575";"-90.902"
"65";"38.715";"-90.483"
"64";"38.595";"-90.873"
"64";"38.915";"-90.953"
"64";"38.865";"-90.523"
"64";"38.805";"-90.883"
"64";"38.575";"-90.813"
"64";"38.855";"-90.413"
"64";"38.775";"-90.573"
"64";"38.865";"-90.493"
"63";"38.695";"-90.652"
"63";"38.675";"-90.433"
"63";"38.885";"-90.363"
"63";"38.655";"-90.853"
"63";"38.595";"-90.853"
"63";"38.885";"-90.863"
"63";"38.875";"-90.633"
"63";"38.635";"-90.813"
"63";"38.905";"-90.923"
"63";"38.685";"-90.813"
"63";"38.655";"-90.813"
"62";"38.855";"-90.723"
"62";"38.755";"-90.683"
"62";"38.615";"-90.803"
"62";"38.615";"-90.553"
"62";"38.845";"-90.703"
"62";"38.655";"-90.493"
"62";"38.625";"-90.652"
"62";"38.695";"-91.152"
"62";"38.605";"-90.863"
"62";"38.685";"-90.603"
"62";"38.655";"-90.473"
"62";"38.615";"-90.792"
"61";"38.845";"-90.483"
"61";"38.755";"-90.703"
"61";"38.915";"-90.583"
"61";"38.905";"-90.902"
"61";"38.735";"-90.483"
"61";"38.725";"-90.463"
"61";"38.695";"-90.613"
"61";"38.635";"-90.363"
"61";"38.775";"-90.613"
"61";"38.645";"-90.563"
"61";"38.885";"-90.733"
"61";"38.875";"-90.393"
"61";"38.655";"-90.943"
"61";"38.625";"-90.833"
"61";"38.625";"-90.683"
"61";"38.595";"-90.783"
"60";"38.695";"-90.623"
"60";"38.695";"-90.563"
"60";"38.645";"-90.713"
"60";"38.615";"-90.652"
"60";"38.605";"-90.993"
"60";"38.885";"-90.463"
"60";"38.705";"-90.453"
"60";"38.645";"-90.792"
"60";"38.635";"-90.542"
"60";"38.765";"-90.523"
"60";"38.595";"-90.833"
"59";"38.795";"-90.603"
"59";"38.785";"-90.483"
"59";"38.695";"-90.533"
"59";"38.875";"-90.523"
"59";"38.725";"-90.663"
"59";"38.635";"-90.723"
"59";"38.565";"-90.583"
"59";"38.875";"-90.663"
"59";"38.865";"-90.402"
"59";"38.795";"-90.402"
"59";"38.815";"-90.423"
"59";"38.795";"-90.393"
"59";"38.665";"-90.542"
"58";"38.875";"-90.643"
"58";"38.865";"-90.773"
"58";"38.745";"-90.513"
"58";"38.645";"-90.693"
"58";"38.635";"-90.513"
"58";"38.615";"-90.603"
"58";"38.605";"-90.833"
"58";"38.875";"-90.652"
"58";"38.875";"-90.613"
"58";"38.765";"-90.593"
"58";"38.695";"-90.643"
"58";"38.635";"-90.563"
"58";"38.585";"-90.863"
"58";"38.815";"-90.513"
"58";"38.635";"-90.623"
"57";"38.705";"-90.953"
"57";"38.675";"-90.483"
"57";"38.665";"-90.743"
"57";"38.615";"-90.483"
"57";"38.865";"-90.433"
"57";"38.625";"-90.533"
"57";"38.585";"-90.853"
"57";"38.675";"-90.823"
"57";"38.625";"-90.542"
"56";"38.895";"-90.893"
"56";"38.855";"-90.743"
"56";"38.715";"-90.473"
"56";"38.495";"-90.902"
"56";"38.815";"-90.753"
"56";"38.735";"-90.493"
"56";"38.615";"-90.533"
"56";"38.855";"-90.433"
"56";"38.805";"-90.853"
"56";"38.715";"-90.593"
"56";"38.695";"-90.443"
"56";"38.615";"-90.593"
"56";"38.885";"-90.753"
"56";"38.815";"-90.503"
"56";"38.655";"-90.923"
"56";"38.915";"-90.973"
"56";"38.735";"-90.473"
"55";"38.905";"-90.853"
"55";"38.685";"-90.663"
"55";"38.665";"-90.843"
"55";"38.625";"-90.593"
"55";"38.875";"-90.863"
"55";"38.855";"-90.713"
"55";"38.895";"-90.443"
"55";"38.875";"-90.402"
"55";"38.635";"-90.753"
"55";"38.885";"-90.443"
"55";"38.845";"-90.513"
"55";"38.815";"-90.523"
"55";"38.755";"-90.663"
"55";"38.735";"-90.503"
"55";"38.695";"-91.123"
"55";"38.635";"-90.733"
"55";"38.595";"-90.823"
"54";"38.895";"-90.583"
"54";"38.865";"-90.873"
"54";"38.825";"-90.583"
"54";"38.675";"-90.493"
"54";"38.625";"-90.663"
"54";"38.865";"-90.753"
"54";"38.865";"-90.513"
"54";"38.685";"-90.823"
"54";"38.625";"-90.673"
"54";"38.745";"-90.652"
"54";"38.675";"-90.733"
"54";"38.615";"-90.753"
"54";"38.935";"-90.393"
"54";"38.835";"-90.453"
"54";"38.785";"-90.673"
"54";"38.645";"-90.753"
"53";"38.845";"-90.463"
"53";"38.755";"-90.523"
"53";"38.705";"-90.473"
"53";"38.615";"-90.723"
"53";"38.725";"-90.613"
"53";"38.695";"-90.603"
"53";"38.555";"-90.613"
"53";"38.885";"-90.693"
"53";"38.845";"-90.373"
"53";"38.835";"-90.343"
"53";"38.725";"-90.563"
"53";"38.655";"-90.963"
"53";"38.555";"-90.583"
"53";"38.885";"-90.723"
"53";"38.605";"-90.823"
"53";"38.885";"-90.743"
"53";"38.615";"-90.843"
"52";"38.895";"-90.783"
"52";"38.865";"-90.593"
"52";"38.825";"-90.893"
"52";"38.885";"-90.583"
"52";"38.855";"-90.383"
"52";"38.835";"-90.463"
"52";"38.725";"-90.573"
"52";"38.725";"-90.493"
"52";"38.715";"-90.753"
"52";"38.665";"-90.773"
"52";"38.645";"-90.443"
"52";"38.875";"-90.433"
"52";"38.595";"-91.003"
"52";"38.925";"-90.402"
"52";"38.765";"-90.652"
"52";"38.745";"-90.623"
"52";"38.715";"-90.613"
"52";"38.715";"-90.603"
"52";"38.685";"-90.503"
"52";"38.605";"-90.853"
"52";"38.565";"-90.603"
"51";"38.865";"-90.613"
"51";"38.775";"-90.363"
"51";"38.725";"-90.473"
"51";"38.625";"-90.563"
"51";"38.615";"-90.743"
"51";"38.615";"-90.542"
"51";"38.905";"-90.933"
"51";"38.735";"-90.663"
"51";"38.695";"-90.433"
"51";"38.905";"-90.583"
"51";"38.785";"-90.593"
"51";"38.765";"-90.733"
"51";"38.735";"-90.513"
"51";"38.965";"-90.353"
"51";"38.835";"-90.533"
"51";"38.795";"-90.663"
"51";"38.625";"-90.523"
"51";"38.785";"-90.753"
"51";"38.685";"-91.223"
"51";"38.655";"-90.902"
"51";"38.615";"-90.523"
"51";"38.605";"-90.553"
"50";"38.895";"-90.813"
"50";"38.845";"-90.683"
"50";"38.755";"-90.643"
"50";"38.685";"-90.973"
"50";"38.665";"-90.453"
"50";"38.855";"-90.873"
"50";"38.845";"-90.883"
"50";"38.835";"-90.583"
"50";"38.775";"-90.483"
"50";"38.755";"-90.723"
"50";"38.755";"-90.563"
"50";"38.745";"-90.703"
"50";"38.725";"-90.503"
"50";"39.015";"-90.292"
"50";"38.885";"-90.763"
"50";"38.695";"-90.833"
"50";"38.605";"-90.593"
"50";"38.865";"-90.743"
"50";"38.855";"-90.313"
"50";"38.815";"-90.433"
"50";"38.625";"-90.613"
"50";"38.555";"-90.833"
"49";"38.895";"-90.323"
"49";"38.885";"-90.373"
